ac_no,ac_name,candidate_name,gender,age,category,party,general,postal,total,pct_votes,total_electors,party_group,rank
1,GUMMIDIPOONDI,S.vijayakumar,MALE,56,GENERAL,TVK,93820,500,94320,37.11,254175,TVK+,1
1,GUMMIDIPOONDI,Sudhakar.v,MALE,40,GENERAL,ADMK,65894,481,66375,26.11,254175,ADMK+,2
1,GUMMIDIPOONDI,T.j.govindarajan,MALE,65,GENERAL,DMK,61922,570,62492,24.59,254175,DMK+,3
1,GUMMIDIPOONDI,"R.sridar. B.l.,",MALE,54,GENERAL,NTK,4707,49,4756,1.87,254175,NTK,4
1,GUMMIDIPOONDI,Nota,,,,NOTA,931,6,937,0.37,254175,NOTA,5
1,GUMMIDIPOONDI,M.jagadeesan,MALE,34,SC,BSP,695,2,697,0.27,254175,BSP,6
1,GUMMIDIPOONDI,Sdk Sankar,MALE,46,GENERAL,AJPK,593,6,599,0.24,254175,AJPK,7
1,GUMMIDIPOONDI,G.ranjith B.sc.l.l.b,MALE,25,GENERAL,IND,502,1,503,0.2,254175,IND,8
1,GUMMIDIPOONDI,K. Chandra Sekar,MALE,51,GENERAL,VTVTK,335,1,336,0.13,254175,VTVTK,9
1,GUMMIDIPOONDI,D.sudhakar,MALE,35,GENERAL,IND,319,2,321,0.13,254175,IND,10
1,GUMMIDIPOONDI,M.kumaran,MALE,44,GENERAL,IND,260,0,260,0.1,254175,IND,11
1,GUMMIDIPOONDI,D.dinesh,MALE,42,GENERAL,IND,222,0,222,0.09,254175,IND,12
1,GUMMIDIPOONDI,V.sudhakar,MALE,40,GENERAL,IND,217,0,217,0.09,254175,IND,13
1,GUMMIDIPOONDI,T.govindan,MALE,43,GENERAL,IND,205,1,206,0.08,254175,IND,14
1,GUMMIDIPOONDI,Gopal.k,MALE,63,GENERAL,IND,174,3,177,0.07,254175,IND,15
1,GUMMIDIPOONDI,A.h. Siva Ganesh,MALE,43,GENERAL,IND,104,0,104,0.04,254175,IND,16
2,PONNERI (SC),Dr.ravi.m.s,MALE,67,SC,TVK,110051,388,110439,43.93,251421,TVK+,1
2,PONNERI (SC),Durai Chandrasekar,MALE,53,SC,INC,54301,370,54671,21.74,251421,DMK+,2
2,PONNERI (SC),Balaraman.p,MALE,64,SC,ADMK,51160,308,51468,20.47,251421,ADMK+,3
2,PONNERI (SC),Rajathi.m,FEMALE,34,SC,NTK,6633,43,6676,2.66,251421,NTK,4
2,PONNERI (SC),Nota,,,,NOTA,859,6,865,0.34,251421,NOTA,5
2,PONNERI (SC),Santhoshkumar.j,MALE,46,SC,BSP,611,4,615,0.24,251421,BSP,6
2,PONNERI (SC),Malathi.s,FEMALE,28,SC,MMKA,371,0,371,0.15,251421,MMKA,7
2,PONNERI (SC),Ashok Priyadarshan,MALE,47,SC,DMSK,360,6,366,0.15,251421,DMSK,8
2,PONNERI (SC),Raja.s,MALE,46,SC,VBA,295,4,299,0.12,251421,VBA,9
2,PONNERI (SC),Rajasekar.j,MALE,36,SC,IND,288,1,289,0.11,251421,IND,10
2,PONNERI (SC),Nagaiyan.g,MALE,48,SC,IND,227,5,232,0.09,251421,IND,11
2,PONNERI (SC),Venkatesan.s,MALE,43,SC,IND,202,1,203,0.08,251421,IND,12
2,PONNERI (SC),Kotteeswaran. K,MALE,44,SC,tavk,163,3,166,0.07,251421,tavk,13
2,PONNERI (SC),Barathiraja.k,MALE,39,SC,IND,155,4,159,0.06,251421,IND,14
3,TIRUTTANI,G.hari,MALE,65,GENERAL,ADMK,87893,1276,89169,33.97,262500,ADMK+,1
3,TIRUTTANI,M.sathya Kumar,MALE,38,GENERAL,TVK,82608,768,83376,31.76,262500,TVK+,2
3,TIRUTTANI,D.krishnamurthy,MALE,63,GENERAL,DMDK,53976,887,54863,20.9,262500,DMK+,3
3,TIRUTTANI,Chandran .s.s,MALE,27,GENERAL,NTK,6516,188,6704,2.55,262500,NTK,4
3,TIRUTTANI,Nota,,,,NOTA,1180,30,1210,0.46,262500,NOTA,5
3,TIRUTTANI,Krishnamoorthy.m,MALE,53,GENERAL,IND,943,3,946,0.36,262500,IND,6
3,TIRUTTANI,Jambu.b,MALE,35,SC,IND,623,5,628,0.24,262500,IND,7
3,TIRUTTANI,Muthuraj.g,MALE,56,SC,BSP,469,1,470,0.18,262500,BSP,8
3,TIRUTTANI,Krishnamoorthy.d,MALE,45,GENERAL,IND,460,7,467,0.18,262500,IND,9
3,TIRUTTANI,Balaji.a,MALE,37,GENERAL,TK,272,0,272,0.1,262500,TK,10
3,TIRUTTANI,Krishnamoorthy.k,MALE,29,GENERAL,IND,201,9,210,0.08,262500,IND,11
3,TIRUTTANI,Dr.a.v.narendran,MALE,43,GENERAL,IND,197,1,198,0.08,262500,IND,12
3,TIRUTTANI,Shettu.s,MALE,53,SC,IND,152,1,153,0.06,262500,IND,13
3,TIRUTTANI,Pavendhan.y.r,MALE,47,GENERAL,tavk,130,2,132,0.05,262500,tavk,14
4,THIRUVALLUR,Dr. T. Arunkumar,MALE,49,GENERAL,TVK,91683,507,92190,36.71,251111,TVK+,1
4,THIRUVALLUR,V.g. Raajendran,MALE,58,GENERAL,DMK,66729,701,67430,26.85,251111,DMK+,2
4,THIRUVALLUR,Be Vee Ramanah,MALE,58,GENERAL,ADMK,56086,476,56562,22.52,251111,ADMK+,3
4,THIRUVALLUR,K. Senthilkumar,MALE,38,GENERAL,NTK,5452,61,5513,2.2,251111,NTK,4
4,THIRUVALLUR,Nota,,,,NOTA,1122,10,1132,0.45,251111,NOTA,5
4,THIRUVALLUR,S. Rajendran,MALE,62,GENERAL,IND,867,1,868,0.35,251111,IND,6
4,THIRUVALLUR,B. Rajesh Kumar,MALE,42,GENERAL,BSP,668,6,674,0.27,251111,BSP,7
4,THIRUVALLUR,E. Mani,MALE,68,SC,RPPRINAT,644,9,653,0.26,251111,RPPRINAT,8
4,THIRUVALLUR,N. Venkatesan,MALE,50,GENERAL,AJPK,352,2,354,0.14,251111,AJPK,9
4,THIRUVALLUR,G. Rajendiran,MALE,59,GENERAL,IND,223,4,227,0.09,251111,IND,10
4,THIRUVALLUR,E.kothandan,MALE,38,GENERAL,IND,201,2,203,0.08,251111,IND,11
4,THIRUVALLUR,N. Balakrishnan,MALE,49,GENERAL,IND,186,0,186,0.07,251111,IND,12
4,THIRUVALLUR,N. Nagendrababu,MALE,30,GENERAL,IND,184,0,184,0.07,251111,IND,13
4,THIRUVALLUR,E. Rajarathinam,MALE,45,GENERAL,tavk,134,0,134,0.05,251111,tavk,14
4,THIRUVALLUR,R. Ramanan,MALE,56,GENERAL,IND,118,0,118,0.05,251111,IND,15
5,POONAMALLEE (SC),Prakasam.r,MALE,44,SC,TVK,160643,666,161309,43.75,368694,TVK+,1
5,POONAMALLEE (SC),Krishnaswamy.a,MALE,60,SC,DMK,87803,766,88569,24.02,368694,DMK+,2
5,POONAMALLEE (SC),Elumalai.t.a,MALE,62,SC,AMMKMNKZ,43017,263,43280,11.74,368694,ADMK+,3
5,POONAMALLEE (SC),Mekala.j,FEMALE,45,SC,NTK,11616,81,11697,3.17,368694,NTK,4
5,POONAMALLEE (SC),Nota,,,,NOTA,1551,20,1571,0.43,368694,NOTA,5
5,POONAMALLEE (SC),Rajasekaran.k,MALE,33,SC,BSP,852,8,860,0.23,368694,BSP,6
5,POONAMALLEE (SC),Ravikumar.m,MALE,38,SC,IND,352,3,355,0.1,368694,IND,7
5,POONAMALLEE (SC),Dr.jayanthi.r,FEMALE,50,SC,IND,299,5,304,0.08,368694,IND,8
5,POONAMALLEE (SC),Sivakumar.s,MALE,56,SC,IND,297,0,297,0.08,368694,IND,9
